state,name,udid,runtime,isAvailable,GiB
Shutdown,CLAUDE mainline-no-exit (#3724) - iPhone 17,4ADE0E74-95D1-42ED-B68C-A6E93D9B60AA,com.apple.CoreSimulator.SimRuntime.iOS-26-5,True,2.8832244873046875
Shutdown,CLAUDE metagate-guide (#3700) - iPhone 17,29122D33-BDD6-4D07-9ED5-2EF2E7873DC9,com.apple.CoreSimulator.SimRuntime.iOS-26-5,True,2.8629226684570312
Shutdown,codex_pr-3023-mergeable-20260729 - iPhone 17 Pro,0FAAC3BD-FBD0-4455-9EEC-4EFCC31BB11A,com.apple.CoreSimulator.SimRuntime.iOS-26-5,True,2.831829071044922
Shutdown,CLAUDE g8-evidence (finish-copy) - iPhone 17,1FACFED0-1060-44EF-B45E-A01CE3733438,com.apple.CoreSimulator.SimRuntime.iOS-26-5,True,2.831073760986328
Shutdown,CLAUDE outbox-predicate sweep (3434 follow-up) - iPhone 17,66D1E14A-F9E5-4ABF-AA95-2602D4BCF564,com.apple.CoreSimulator.SimRuntime.iOS-26-5,True,2.818767547607422
Shutdown,feat_phil-plus-public-profile-20260814 - iPhone 17,198EF5B6-C837-4F92-938B-990C55462932,com.apple.CoreSimulator.SimRuntime.iOS-26-5,True,2.8160018920898438
Shutdown,PRIME PR4007 paygate clarity - iPhone 17,BE2F052E-39C4-4C8C-A34C-83D274FAEC4F,com.apple.CoreSimulator.SimRuntime.iOS-26-5,True,2.8082656860351562
Shutdown,CLAUDE conductor: streak-centralization (Codex client tests) - iPhone 17 Pro,78F99061-6FC2-45F1-9B85-418C1C3481A5,com.apple.CoreSimulator.SimRuntime.iOS-26-5,True,2.8066139221191406
Shutdown,CLAUDE offerings-gate (#3724) - iPhone 17,E0C68B61-86D5-4F50-9C80-281C4FBC3B61,com.apple.CoreSimulator.SimRuntime.iOS-26-5,True,2.7964439392089844
Shutdown,ps-viewport-audit-ipad9,4A9D5ED6-EED1-4CED-AF53-E2F677D70485,com.apple.CoreSimulator.SimRuntime.iOS-26-5,True,2.7937774658203125
Shutdown,CODEX pvai-beta-faq - iPhone 16,55A9AE12-4645-46E8-8B87-B4809B9190B8,com.apple.CoreSimulator.SimRuntime.iOS-26-5,True,2.7704811096191406
Shutdown,OPUS outro-safearea - iPhone 17 Pro,A3C42956-C315-45FA-9B61-7BFA46CAE47D,com.apple.CoreSimulator.SimRuntime.iOS-26-5,True,2.7578048706054688
Shutdown,CODEX onboarding-fix (celebrate) - iPhone 17 Pro,3F49C161-DDEF-48E4-82F2-B54E9FD1FEE5,com.apple.CoreSimulator.SimRuntime.iOS-26-5,True,2.748889923095703
Shutdown,PRIME #3525 offerings pending - iPhone 17,CCEF4422-4021-4FF3-A3A9-6B6A769F18EB,com.apple.CoreSimulator.SimRuntime.iOS-26-5,True,2.73175048828125
Shutdown,PRIME #3538 checkout final - iPhone 17 Pro,3B83AECF-F4E4-4004-BADE-96B5C97FD7A5,com.apple.CoreSimulator.SimRuntime.iOS-26-5,True,2.728912353515625
Shutdown,feat_streak-centralization-20260801 - iPhone 17 Pro,3FEF87A0-7CFC-4746-93C4-D4C6844E5533,com.apple.CoreSimulator.SimRuntime.iOS-26-5,True,2.725177764892578
